raison,adresse_1,adresses_2,catégorie,produit,quantité,prix unitaire,date
Boulanger-Lemoine Appolo Électricité Plus,7 avenue Moulin,55215 Gosselin-sur-Mer,Composants d'électroniques numériques,Microprocesseur,21,6.64,2022-10-27
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques analogiques,Inductance,43,12.05,2022-10-27
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Quartz,21,15.68,2022-10-27
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques analogiques,Memristor,29,24.43,2022-10-27
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Quartz,46,15.99,2022-10-27
Lagarde Plate-forme Dépanneur Spécialiste,4 rue de Michaud,33414 VoisinBourg,Composants servant d'interface humaine,Haut-parleur,29,15.14,2022-10-27
Barre-Valentin Excel Elec Pièces,7 avenue Chauvin,34561 Étienne,Capteur,Microphone,7,13.13,2022-10-27
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Haut-parleur,21,13.98,2022-10-27
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Capteur de luminosité,35,13.92,2022-10-28
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Buzzer,32,31.83,2022-10-28
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Capteur,Accéléromètre,44,11.15,2022-10-28
Marty Confiance Dépanneur Pro,69 avenue de Da Silva,88501 AdamBourg,Capteur,Accéléromètre,47,11.15,2022-10-29
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants servant d'interface humaine,Afficheur,45,27.35,2022-10-29
Hamel Confiance Électricité Spécialiste,53 chemin de Techer,46919 Charpentier-sur-Blanchet,Composants servant d'interface humaine,Interrupteur,39,9.77,2022-10-29
Lagarde Top Électricité Pro,9 rue Michelle Teixeira,77507 RaymondBourg,Composants d'électroniques analogiques,Memristor,27,25.42,2022-10-29
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Capteur,Thermistance,34,20.86,2022-10-29
Marechal Appolo Électricité Composants,4 rue de Perrot,79006 Tessier,Capteur,Thermistance,1,21.71,2022-10-30
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Capteur,Capteur de luminosité,10,13.92,2022-10-30
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Quartz,21,15.99,2022-10-30
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Composants servant d'interface humaine,Buzzer,36,31.83,2022-10-30
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques numériques,Microcontrôleur,21,28.06,2022-10-30
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants servant d'interface humaine,Interrupteur,48,9.21,2022-10-30
Sousa Plate-forme Électricité Pièces,18 rue de Carpentier,48607 Collin-les-Bains,Composants servant d'interface humaine,Commutateur,22,2.58,2022-10-30
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Capteur de pression,27,12.1,2022-10-30
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Opto-coupleur,1,30.56,2022-10-31
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Composants d'électroniques analogiques,Diode,40,24.02,2022-10-31
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Capteur,Capteur de champ magnétique,20,15.28,2022-10-31
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Capteur,Capteur de pression,48,12.1,2022-10-31
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Mémoire informatique,36,20.69,2022-10-31
Maury Top Électricité Spécialiste,88 avenue Arthur Lemaire,95525 Sainte Frédériquenec,Composants d'électroniques analogiques,Inductance,28,12.29,2022-10-31
Marty Excel Dépanneur ++,12 rue de Rossi,93121 Sainte YvesBourg,Composants servant d'interface humaine,Haut-parleur,50,15.14,2022-10-31
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques analogiques,Transistor,43,33.63,2022-10-31
Lecoq Excel Elec Spécialiste,23 rue Suzanne Collet,01068 Richardboeuf,Composants servant d'interface humaine,Interrupteur,49,,2022-11-01
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants servant d'interface humaine,LED,6,3.68,2022-11-01
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Capteur,Capteur de température,23,26.41,2022-11-01
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Buzzer,37,31.83,2022-11-01
Gosselin Top Électricité Spécialiste,887 avenue Stéphanie Devaux,89717 Valléedan,Composants d'électroniques numériques,Opto-coupleur,49,34.41,2022-11-01
Blondel Giga Électricité ++,91 rue Inès Durand,44914 Saint Michelle-sur-Mer,Composants servant d'interface humaine,Potentiomètre,25,8.29,2022-11-02
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants servant d'interface humaine,LED,10,3.75,2022-11-02
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Composants d'électroniques analogiques,Résistance,2,22.95,2022-11-02
Valentin Confiance Elec Composants,18 chemin de Guilbert,14737 Roy,Composants d'électroniques numériques,Mémoire informatique,36,24.25,2022-11-02
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques analogiques,Condensateur,43,33.64,2022-11-02
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Quartz,46,15.68,2022-11-02
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques analogiques,Inductance,31,12.05,2022-11-02
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Composants servant d'interface humaine,Buzzer,3,31.83,2022-11-03
Bernier Confiance Elec Pièces,3 avenue Valentin,72963 Ribeiro,Composants d'électroniques numériques,Quartz,41,18.01,2022-11-03
Guillet Confiance Dépanneur ++,551 rue Arnaude Vallet,10801 Mercier-sur-Mer,Composants servant d'interface humaine,Commutateur,38,2.53,2022-11-03
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants d'électroniques analogiques,Inductance,47,12.05,2022-11-03
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Interrupteur,47,9.21,2022-11-03
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants d'électroniques numériques,Quartz,43,15.99,2022-11-03
Ferrand Excel Dépanneur 2000,3 rue Camille De Sousa,11239 Da Costa,Capteur,Microphone,42,13.13,2022-11-03
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Capteur,Capteur de pression,13,12.1,2022-11-03
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants d'électroniques numériques,Microcontrôleur,48,28.62,2022-11-03
Hubert-Dupuy Appolo Dépanneur ++,1 rue Leroy,76903 Guyon-sur-Mallet,Composants servant d'interface humaine,Interrupteur,2,9.39,2022-11-03
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Mémoire informatique,33,21.95,2022-11-03
Blin Plate-forme Dépanneur ++,99 rue Adrien Raynaud,51487 Gomes-sur-Foucher,Composants servant d'interface humaine,Buzzer,19,33.78,2022-11-03
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Opto-coupleur,10,30.56,2022-11-03
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques analogiques,Diode,7,24.02,2022-11-03
Lucas Appolo Dépanneur Pro,36 chemin Laure Mace,46414 Chauveau,Composants servant d'interface humaine,Commutateur,48,2.53,2022-11-04
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,Potentiomètre,44,7.97,2022-11-04
Samson Giga Dépanneur Pro,67 rue Aurore Albert,86954 Royer-sur-Dijoux,Capteur,Thermistance,37,21.28,2022-11-04
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Haut-parleur,35,13.98,2022-11-04
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Interrupteur,25,9.03,2022-11-04
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Microcontrôleur,34,28.06,2022-11-04
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,LED,30,3.61,2022-11-04
Maury Top Électricité Spécialiste,88 avenue Arthur Lemaire,95525 Sainte Frédériquenec,Composants servant d'interface humaine,LED,40,4.07,2022-11-04
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Capteur,Thermistance,28,21.28,2022-11-04
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants d'électroniques numériques,Microcontrôleur,12,28.62,2022-11-04
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques numériques,Microcontrôleur,9,28.06,2022-11-05
Roger Appolo Elec Spécialiste,1 rue de Guyot,20249 Huetboeuf,Capteur,Capteur de luminosité,19,14.2,2022-11-05
Maury Top Électricité Spécialiste,88 avenue Arthur Lemaire,95525 Sainte Frédériquenec,Capteur,Capteur de luminosité,49,14.2,2022-11-05
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Buzzer,12,31.83,2022-11-05
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants d'électroniques numériques,Mémoire informatique,10,22.84,2022-11-05
Leroux Plate-forme Elec Plus,1 rue Brunel,19328 Pelletierdan,Composants servant d'interface humaine,LED,17,3.83,2022-11-05
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Interrupteur,30,9.21,2022-11-05
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Capteur,Capteur de pression,34,12.1,2022-11-06
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Diode,39,24.02,2022-11-06
Guillet Giga Dépanneur ++,40 avenue de Bouvet,29760 Delahayenec,Composants servant d'interface humaine,LED,35,3.83,2022-11-06
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Roue codeuse,2,2.31,2022-11-06
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Résistance,44,21.63,2022-11-06
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants d'électroniques numériques,Microcontrôleur,3,28.06,2022-11-06
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants servant d'interface humaine,Buzzer,2,31.83,2022-11-06
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Haut-parleur,6,14.26,2022-11-06
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Composants d'électroniques numériques,Microprocesseur,29,6.64,2022-11-06
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Capteur optique,46,14.5,2022-11-06
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants servant d'interface humaine,Commutateur,39,2.53,2022-11-07
Carlier Plate-forme Elec Plus,95 rue Jean Baudry,16428 Bouvet,Composants d'électroniques analogiques,Diode,14,24.02,2022-11-07
Gosselin Confiance Électricité Composants,31 chemin de Benard,24506 Gilles,Composants d'électroniques analogiques,Photocoupleur,42,10.28,2022-11-07
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Condensateur,14,33.64,2022-11-07
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants servant d'interface humaine,Interrupteur,48,9.21,2022-11-07
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Capteur de luminosité,15,13.92,2022-11-08
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Haut-parleur,31,14.26,2022-11-08
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Mémoire informatique,41,21.52,2022-11-08
Valentin Confiance Elec Composants,18 chemin de Guilbert,14737 Roy,Composants d'électroniques numériques,Quartz,4,16.97,2022-11-08
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants d'électroniques analogiques,Condensateur,43,33.64,2022-11-08
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Capteur,Gyroscope,3,10.62,2022-11-08
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants servant d'interface humaine,Potentiomètre,19,7.97,2022-11-09
Roger Appolo Électricité Pro,903 rue de Laporte,87927 Martinez,Capteur,Thermistance,7,21.28,2022-11-09
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Afficheur,8,26.28,2022-11-09
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Composants servant d'interface humaine,Buzzer,26,31.83,2022-11-09
Julien Excel Dépanneur Pièces,5 chemin Alexandrie Valette,55253 Saint Corinne-les-Bains,Composants d'électroniques numériques,Microcontrôleur,16,28.62,2022-11-09
Samson Giga Dépanneur Pro,67 rue Aurore Albert,86954 Royer-sur-Dijoux,Composants servant d'interface humaine,Commutateur,6,2.53,2022-11-09
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants servant d'interface humaine,Haut-parleur,34,14.26,2022-11-09
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Caméra,10,26.85,2022-11-09
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Capteur,Thermistance,17,21.28,2022-11-10
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,22,2.31,2022-11-10
Hamel Confiance Électricité Spécialiste,53 chemin de Techer,46919 Charpentier-sur-Blanchet,Composants d'électroniques numériques,Mémoire informatique,8,26.23,2022-11-10
Lagarde Top Dépanneur ++,50 avenue Carpentier,63501 Le Roux,Composants d'électroniques analogiques,Condensateur,40,33.64,2022-11-10
Lefebvre Top Électricité Pro,917 avenue Nicole Renaud,36285 Gaudin,Composants d'électroniques numériques,Quartz,1,17.66,2022-11-10
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Capteur,Capteur de luminosité,8,13.92,2022-11-11
Simon Plate-forme Électricité Spécialiste,36 boulevard de Bazin,63061 Sainte AlexVille,Composants d'électroniques numériques,Quartz,12,17.66,2022-11-11
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Capteur,Accéléromètre,6,10.93,2022-11-11
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Composants servant d'interface humaine,Haut-parleur,12,14.84,2022-11-11
Bouvet Top Électricité Composants,36 avenue de Valette,39453 Vidal,Composants d'électroniques numériques,Microcontrôleur,7,28.62,2022-11-11
Brunet Top Dépanneur Pro,10 avenue Lucas Bernard,89579 Normand-la-Forêt,Composants d'électroniques numériques,Quartz,3,16.64,2022-11-11
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Composants d'électroniques analogiques,Régulateur de tension,27,30.19,2022-11-11
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Capteur,Thermistance,25,20.86,2022-11-12
Carlier Plate-forme Elec Plus,95 rue Jean Baudry,16428 Bouvet,Composants servant d'interface humaine,LED,28,3.91,2022-11-12
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,Interrupteur,5,9.21,2022-11-12
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants d'électroniques analogiques,Diode,13,24.02,2022-11-12
Lecoq Excel Elec Spécialiste,23 rue Suzanne Collet,01068 Richardboeuf,Capteur,Capteur de température,39,26.41,2022-11-12
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants d'électroniques numériques,Microprocesseur,2,6.64,2022-11-13
Dupuis Plate-forme Elec Spécialiste,68 boulevard Lecomte,46550 Voisin,Composants d'électroniques numériques,Microcontrôleur,32,28.62,2022-11-13
Ferrand Excel Dépanneur 2000,3 rue Camille De Sousa,11239 Da Costa,Composants servant d'interface humaine,Roue codeuse,10,2.51,2022-11-13
Ferrand Excel Dépanneur 2000,3 rue Camille De Sousa,11239 Da Costa,Capteur,Capteur de luminosité,15,14.2,2022-11-13
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Capteur,Capteur de champ magnétique,35,15.28,2022-11-13
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,Haut-parleur,50,14.26,2022-11-13
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Composants servant d'interface humaine,Buzzer,30,31.83,2022-11-13
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants servant d'interface humaine,Haut-parleur,47,14.55,2022-11-13
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Commutateur,19,2.53,2022-11-13
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Capteur,Thermistance,50,20.86,2022-11-13
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Microcontrôleur,9,26.97,2022-11-13
Picard Excel Dépanneur Spécialiste,97 rue Pierre Lefort,89872 Sainte Isaac,Composants d'électroniques numériques,Mémoire informatique,30,24.73,2022-11-13
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Capteur,Thermistance,31,20.86,2022-11-13
Mace Appolo Électricité Plus,895 boulevard de Grenier,04254 Sainte Marceldan,Composants servant d'interface humaine,Buzzer,47,31.83,2022-11-13
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Microcontrôleur,27,28.06,2022-11-13
Pineau Appolo Dépanneur Pièces,15 rue de Bonnet,56641 Pages,Composants servant d'interface humaine,Interrupteur,18,9.77,2022-11-13
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants servant d'interface humaine,Haut-parleur,18,14.84,2022-11-14
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Capteur de luminosité,24,13.92,2022-11-14
Hamel Confiance Électricité Spécialiste,53 chemin de Techer,46919 Charpentier-sur-Blanchet,Composants d'électroniques numériques,Microprocesseur,23,6.77,2022-11-14
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Capteur de luminosité,28,13.92,2022-11-14
Ferrand-Morin Plate-forme Elec Pièces,77 rue Boutin,00588 Boulay,Composants d'électroniques analogiques,Résistance,23,23.41,2022-11-14
Lucas Confiance Elec ++,60 avenue Lebrun,95988 BlancVille,Composants servant d'interface humaine,Afficheur,12,26.81,2022-11-14
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,28,3.54,2022-11-14
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants d'électroniques analogiques,Transistor,40,33.63,2022-11-15
Blin Top Électricité Spécialiste,69 rue Techer,76691 Voisin-sur-Mer,Composants servant d'interface humaine,Roue codeuse,50,2.51,2022-11-15
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,38,3.54,2022-11-15
Daniel Confiance Électricité Spécialiste,81 avenue Pauline Marchal,16957 Saint Augustin,Composants servant d'interface humaine,Roue codeuse,21,2.51,2022-11-15
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants d'électroniques numériques,Mémoire informatique,17,22.84,2022-11-15
Hubert-Dupuy Appolo Dépanneur ++,1 rue Leroy,76903 Guyon-sur-Mallet,Composants servant d'interface humaine,Buzzer,26,31.83,2022-11-15
Bonnet Excel Électricité Pièces,77 rue Georges Martins,12531 Bourgeois,Capteur,Microphone,40,13.13,2022-11-16
Boulanger-Lemoine Appolo Électricité Plus,7 avenue Moulin,55215 Gosselin-sur-Mer,Capteur,Capteur de température,43,26.41,2022-11-16
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Buzzer,50,31.83,2022-11-16
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Afficheur,8,26.28,2022-11-17
Guillet Giga Dépanneur ++,40 avenue de Bouvet,29760 Delahayenec,Composants servant d'interface humaine,Roue codeuse,41,2.41,2022-11-17
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Composants servant d'interface humaine,Haut-parleur,24,14.84,2022-11-17
Gosselin Excel Elec Pièces,18 avenue de Langlois,23562 Lévynec,Capteur,Microphone,24,13.13,2022-11-17
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Potentiomètre,28,7.66,2022-11-17
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants servant d'interface humaine,Roue codeuse,16,2.36,2022-11-18
Brunet Top Dépanneur Pro,10 avenue Lucas Bernard,89579 Normand-la-Forêt,Composants servant d'interface humaine,Commutateur,12,2.53,2022-11-18
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants servant d'interface humaine,Buzzer,8,31.83,2022-11-18
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Haut-parleur,37,13.98,2022-11-18
Bouvet Top Électricité Composants,77 avenue Grégoire Maillard,39453 Vidal,Composants servant d'interface humaine,Potentiomètre,20,8.29,2022-11-18
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Capteur optique,15,14.5,2022-11-19
Lucas Confiance Elec ++,60 avenue Lebrun,95988 BlancVille,Composants d'électroniques numériques,Microcontrôleur,46,28.62,2022-11-19
Bernier Confiance Elec Pièces,3 avenue Valentin,72963 Ribeiro,Composants d'électroniques numériques,Microprocesseur,46,6.77,2022-11-19
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Haut-parleur,12,13.98,2022-11-19
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Capteur,Gyroscope,5,10.62,2022-11-19
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Composants servant d'interface humaine,Roue codeuse,9,2.41,2022-11-19
Blondel Giga Électricité ++,832 rue Paul Payet,44914 Saint Michelle-sur-Mer,Composants servant d'interface humaine,Potentiomètre,34,8.29,2022-11-19
Roger Appolo Elec Spécialiste,1 rue de Guyot,20249 Huetboeuf,Composants d'électroniques analogiques,Transistor,15,,2022-11-20
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Buzzer,49,31.83,2022-11-20
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants servant d'interface humaine,Haut-parleur,16,15.14,2022-11-20
Mace Appolo Électricité Plus,895 boulevard de Grenier,04254 Sainte Marceldan,Composants servant d'interface humaine,Roue codeuse,27,2.36,2022-11-20
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Capteur,Capteur de pression,49,12.1,2022-11-20
Adam Excel Dépanneur Pièces,50 rue Gomes,76608 Hoareau,Capteur,Microphone,46,13.13,2022-11-20
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants servant d'interface humaine,Interrupteur,3,9.21,2022-11-20
Guillet Giga Dépanneur ++,40 avenue de Bouvet,29760 Delahayenec,Composants servant d'interface humaine,Haut-parleur,47,15.14,2022-11-20
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants d'électroniques numériques,Mémoire informatique,45,24.25,2022-11-21
Samson Appolo Dépanneur 2000,3 boulevard Bouvet,25566 Charpentier,Composants servant d'interface humaine,Roue codeuse,11,2.51,2022-11-21
Lucas Appolo Dépanneur Pro,36 chemin Laure Mace,46414 Chauveau,Composants d'électroniques numériques,Mémoire informatique,30,24.25,2022-11-21
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Mémoire informatique,31,21.95,2022-11-21
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants d'électroniques numériques,Microcontrôleur,45,28.62,2022-11-21
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Buzzer,48,31.83,2022-11-21
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Composants servant d'interface humaine,Haut-parleur,49,14.84,2022-11-22
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Commutateur,23,2.53,2022-11-22
Barthelemy Appolo Dépanneur Pièces,25 avenue Gimenez,95153 CharlesVille,Composants d'électroniques numériques,Microcontrôleur,43,28.06,2022-11-22
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Capteur de pression,40,12.1,2022-11-22
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Capteur,Capteur de pression,44,12.1,2022-11-22
Maury Excel Dépanneur Plus,3 chemin Dupuis,41146 Gonzalez,Composants d'électroniques analogiques,Diode,47,24.02,2022-11-22
Lagarde Plate-forme Dépanneur Spécialiste,4 rue de Michaud,33414 VoisinBourg,Capteur,Capteur optique,19,14.79,2022-11-22
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Microprocesseur,18,6.38,2022-11-22
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Mémoire informatique,13,21.52,2022-11-22
Guillet Confiance Dépanneur ++,551 rue Arnaude Vallet,10801 Mercier-sur-Mer,Composants servant d'interface humaine,Interrupteur,27,9.39,2022-11-22
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques numériques,Opto-coupleur,9,31.17,2022-11-22
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques analogiques,Diode,25,24.02,2022-11-22
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants d'électroniques numériques,Mémoire informatique,7,23.3,2022-11-23
